deal_title,investor_company,investor_role,investment_amount_usd
Milford Regional Medical Center — Buyout/LBO (2024-10),UMass Memorial Health Care,PARTICIPANT,
Inpatient Behavioral Healthcare Facility (Acadia Healthcare / Tufts Medicine) — Joint Venture (2022-06),"Acadia Healthcare Company, Tufts Medicine",PARTICIPANT,
Baystate Medical Center — Grant (2021-12),"The United States Department of Justice, U.S. Department of Health and Human Services",PARTICIPANT,
Caring Health Center — Grant (2021-12),U.S. Department of Health and Human Services,PARTICIPANT,
Dothouse Health — Grant (2021-12),U.S. Department of Health and Human Services,PARTICIPANT,
Lawrence F Quigley Memorial Hospital — Grant (2021-12),The US Department of Veterans Affairs,PARTICIPANT,
Outer Cape Health Services — Grant (2021-12),U.S. Department of Health and Human Services,PARTICIPANT,
Spaulding Rehabilitation Hospital (srh) Volunteer Services — Grant (2021-12),"U.S. Department of Education, U.S. Department of Health and Human Services, United States Department of War",PARTICIPANT,
Athol Hospital — Grant (2020-12),U.S. Department of Health and Human Services,PARTICIPANT,
Cape Cod Hospital — Grant (2020-12),U.S. Department of Health and Human Services,PARTICIPANT,
Franklin Baystate Medical Center — Grant (2020-12),U.S. Department of Health and Human Services,PARTICIPANT,
Jordan Health Systems — Grant (2020-12),U.S. Department of Health and Human Services,PARTICIPANT,
UMass Memorial Health Harrington — Merger/Acquisition (2020-09),Mass.Gov,PARTICIPANT,
Joint Venture (Baystate Health Foundation / Kindred Healthcare) — Joint Venture (2020-07),"Baystate Health Foundation, Kindred Healthcare",PARTICIPANT,
Emerson Hospital Center for Specialty Care — Corporate Asset Purchase (2020-02),"AEW Capital Management, Celera Properties",PARTICIPANT,
Beth Israel Deaconess Medical Center — Merger/Acquisition (2019-03),amfAR,PARTICIPANT,
Berkshire Medical Center — Grant (2018-12),U.S. Department of Education,PARTICIPANT,
Signature Healthcare Corporation — Grant (2018-12),U.S. Department of Health and Human Services,PARTICIPANT,
Fitchburg Redevelopment — Grant (2017-12),U.S. Environmental Protection Agency,PARTICIPANT,
New England Rehab Services of Central Massachusetts — Secondary Transaction - Private (2014-06),"Encompass Health, UMass Memorial Health Care",PARTICIPANT,
Dana-Farber Cancer Institute — Grant (2012-01),Massachusetts Life Sciences Center,PARTICIPANT,
Bevel — Early Stage VC (2025-10),"Abstract Ventures, General Catalyst, Script Capital (United States), South Park Commons",PARTICIPANT,
Marble Health — Early Stage VC (2025-10),"Costanoa Ventures, Daybreak Ventures, FJ Labs, IA Ventures, Khosla Ventures, Lorimer Ventures, Town Hall Ventures",PARTICIPANT,
Previvor Edge — Seed Round (2025-10),"CoFound Partners, Designer Fund, Humbition, Max Ventures, Red Swan Ventures",PARTICIPANT,
Somatix — Later Stage VC (2025-10),"Digitalis Ventures, Dreamit Ventures, East Post Road Ventures, Forefront Analytics, Innovation Authority, InsurTech Hub Munich, LG Nova, New York Digital Health Innovation Lab, Starbucks",PARTICIPANT,
The IMA Group — Debt - Acquisition (2025-10),"Centre Partners, Linden (Chicago)",PARTICIPANT,
Soufflé Therapeutics — Early Stage VC (2025-10),"AbbVie, Amgen, ARCH Venture Partners, Bessemer Venture Partners, Breyer Capital, Janus Henderson Investors, Leaps by Bayer, Novo Nordisk, Polaris Partners, Safar Partners, Temasek Holdings, The Invus Group, Vida Ventures (Los Angeles)",PARTICIPANT,
SQ Innovation — Later Stage VC (2025-10),Marco Poel,PARTICIPANT,
Goodpath — Later Stage VC (2025-10),"Blindspot Ventures, City Light Capital, Endeavor Greece, Global Founders Capital, Healthy Ventures, Indicator Ventures, MassMutual Ventures, Switch Ventures",PARTICIPANT,
OraLiva — Seed Round (2025-10),"CareQuest Innovation Partners, DCVC, Endless Frontier Labs, First Flight Venture Center, Matter (Consulting Services (B2B)), National Cancer Institute, National Institute of Dental and Craniofacial Research, NYU Entrepreneurial Institute, NYU Summer Launchpad, Preetpal Sidhu, RTP Angel Fund, U. S. National Science Foundation",PARTICIPANT,
Proteus Motion — Later Stage VC (2025-10),"412 Venture Fund, Acies, Acies Investments, Blake Griffin Enterprises, Brandon Shorenstein, Bryson DeChambeau, Chris Capuano, David Stern, David Winfield, Founders First, Geoffrey Bernstein, Harris Blitzer Sports & Entertainment, HBSE Ventures, Hichens, Harrison & Company, Hospital for Special Surgery Endowment, James Lester, John Kosner, Lauder Partners, Liebenthal Ventures, Makers Camp, Matthew Dellavedova, MIT Alumni Angels of New York, Monozukuri Ventures, Raga Partners (New York), Richard Boyce, Sammy Barcelona, SoundBoard Venture Fund",PARTICIPANT,
Beacon Biosignals — Later Stage VC (2025-10),"Andrew Hollenbeck, Casdin Capital, General Catalyst, Half Court Ventures, Iaso Ventures, Indicator Ventures, Logos Capital, Nexus NeuroTech Ventures, Synetro Group",PARTICIPANT,
Bolt.Healthcare — Later Stage VC (2025-10),MainSheet Ventures,PARTICIPANT,
Folia Health — Later Stage VC (2025-10),"AARP Innovation Labs, AgeTech Collaborative, Bantam Group, Character (VC), Correlation Ventures, Create Health Ventures, Crosslink Capital, Joyance Partners, Kaya Ventures, Launchpad Venture Group, MassChallenge, S3 Ventures, TBD Angels, Walnut Ventures",PARTICIPANT,
Grouper — Later Stage VC (2025-09),"Aging2.0, David Norris, JSL Health Capital, Lawrence Leisure, Louis Brandt, Magnify VC, New Enterprise Associates, Pixel Perfect Ventures, Shelby Bryan, Sorenson Impact Foundation",PARTICIPANT,
Neura Health — Later Stage VC (2025-09),"American Heart Association Ventures, Correlation Ventures, E12 Venture Capital, Esplanade Healthtech Ventures, Global Founders Capital, GoingVC Partners, Index Ventures, JCurve, Jeffrey Weiner, Koch Disruptive Technologies, Next Play Ventures, Nikhil Krishnan, Norwest, Pear (California), Plug and Play Tech Center, UCSF Rosenman Institute",PARTICIPANT,
Aloe Care Health — Secondary Transaction - Private (2025-09),"0924 Investments, AgeTech Capital, City Light Capital, Drumbeat Ventures, Gaingels, Grit Capital Partners, HEPCO Capital Management, Innovations for Impact, Laerdal Million Lives Fund, Oceans Ventures, Puget Sound Venture Club, RiverPark Ventures, Springbank Collective, Wasson Enterprise",PARTICIPANT,
Aware Recovery Care — PE Growth/Expansion (2025-09),"BPEA Private Equity, Connecticut Innovations, Health Enterprise Partners",PARTICIPANT,
Judi Health — Later Stage VC (2025-09),"9Yards Capital, Alumni Ventures, Atlantic Health System, B Capital Group, Banner Health, Edison Partners, Emerald Development Managers, F-Prime Capital, General Catalyst, Generation Investment Management, Goldman Sachs Asset Management, Hawaii Pacific Health, Inova Health System, Koru Capital (New York), Lehigh Valley Health Network, Memorial Hermann Foundation, Mubadala Capital, Nebraska Medicine, Novant Health, Ochsner Health, Prime Health, Prime Therapeutics, RioBlanco Capital, Transformation Capital, Wellington Management, WellSpan Health",PARTICIPANT,
Kyruus — Buyout/LBO (2025-09),"Adam Goulburn, Allumia Ventures, Bon Secours Mercy Health, Carl Byers, Dustin Moskovitz, Echo Health Ventures, Ed Park, Eight Roads, F-Prime Capital, Francisco Partners, GLG (New York), Highland Capital Partners, John Goldsmith, Jonathan Bush, Lux Capital, McKesson Ventures, New Leaf Venture, Salesforce Ventures, Swedish Health Services, Transformation Capital, UPMC Enterprises, Venrock",PARTICIPANT,
MoldCo — Seed Round (2025-09),"AJ2 Fund, Behind Genius Ventures, Bleu Capital, Boost VC, Cantos Ventures, Climate Capital, Collaborative Fund, Conscience, Harpoon VC, Moth Fund, Night Ventures, SoGal Ventures, Solari Capital, Starship Ventures, Sunflower Fund (Miami)",PARTICIPANT,
Annie Aesthetic — PE Growth/Expansion (2025-09),"Brookside Equity Partners, InterAlpen Partners, Plexus Capital",PARTICIPANT,
Conceivable Life Sciences — Early Stage VC (2025-09),"ACME Capital, Advance Venture Partners, ARTIS Ventures, Atlantic Health Venture Studio, Black Opal Ventures, Cadence Healthcare Ventures, Coriolis Ventures, Future Positive Capital, Muse Capital, Scrub Capital, Stride.VC, Time BioVentures",PARTICIPANT,
